Occupation (NOC),Low,Median,High,Province
Religious leaders (41302),18.14,23.75,35,NL
Probation and parole officers (41311),24.29,40,47.69,NL
Educational counsellors (41320),27.78,41.21,49.73,NL
Career development practitioners and career counsellors (except education) (41321),21.63,26.67,34,NL
"Natural and applied science policy researchers, consultants and program officers (41400)",24.28,43.22,66.05,NL
Economists and economic policy researchers and analysts (41401),28.72,44.51,58.52,NL
Business development officers and market researchers and analysts (41402),23.08,42.05,60.1,NL
"Social policy researchers, consultants and program officers (41403)",26,38,51.1,NL
"Health policy researchers, consultants and program officers (41404)",23.32,38,46.36,NL
"Education policy researchers, consultants and program officers (41405)",25,36.06,51.6,NL
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",26.44,26.44,27.47,NL
Program officers unique to government (41407),31.05,39.43,51.38,NL
Other professional occupations in social science (41409),23.48,36.26,48.51,NL
Police officers (except commissioned) (42100),32.05,45,61.54,NL
Firefighters (42101),23,38,52.2,NL
Paralegals and related occupations (42200),16.7,29,30,NL
Social and community service workers (42201),17.5,24,37,NL
Early childhood educators and assistants (42202),15,16,20.86,NL
Instructors of persons with disabilities (42203),15.65,15.93,16.58,NL
Elementary and secondary school teacher assistants (43100),22.67,26.26,30,NL
Other instructors (43109),15,20,25,NL
Sheriffs and bailiffs (43200),24.04,31.19,34.07,NL
Correctional service officers (43201),20.15,32,38.46,NL
By-law enforcement and other regulatory officers (43202),19.59,31.87,45,NL
"Border services, customs, and immigration officers (43203)",25.99,29.78,40,NL
Operations Members of the Canadian Armed Forces (43204),15.51,27.5,46.69,NL
Home child care providers (44100),15,15.15,25,NL
"Home support workers, caregivers and related occupations (44101)",15.55,16.84,18,NL
Primary combat members of the Canadian Armed Forces (44200),N/A,27.47,N/A,NL
"Student monitors, crossing guards and related occupations (45100)",19.91,27.05,36.34,NL
"Library, archive, museum and art gallery managers (50010)",N/A,25.64,N/A,NL
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",33.37,47.29,68.53,NL
"Recreation, sports and fitness program and service directors (50012)",21.89,29.22,51.83,NL
Librarians (51100),22.42,32.89,50.12,NL
Editors (51110),18.46,30.2,40.26,NL
Authors and writers (except technical) (51111),19.73,28.85,41.33,NL
Technical writers (51112),26.06,36.08,49.64,NL
Journalists (51113),19.47,34.87,43.27,NL
"Producers, directors, choreographers and related occupations (51120)",22.21,33.58,49.93,NL
Musicians and singers (51122),N/A,"32,090",N/A,NL
Library and public archive technicians (52100),15,23.25,37.19,NL
Audio and video recording technicians (52113),15,24.5,39,NL
Announcers and other broadcasters (52114),17.94,25.36,44.96,NL
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",18,26.39,33,NL
Graphic designers and illustrators (52120),30.25,31.73,65.93,NL
Interior designers and interior decorators (52121),15,20,34.19,NL
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",15,19.25,27.14,NL
Photographers (53110),18.3,19.89,29.95,NL
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",15,21.14,31,NL
Artisans and craftspersons (53124),15,16,22,NL
"Program leaders and instructors in recreation, sport and fitness (54100)",15,15,23,NL
Corporate sales managers (60010),37.95,43.75,96.15,NL
Retail and wholesale trade managers (60020),15.38,25.48,53.33,NL
Restaurant and food service managers (60030),15,19.23,40.87,NL
Accommodation service managers (60031),19,37.95,78.67,NL
Managers in customer and personal services (60040),22.66,33.05,68,NL
Retail sales supervisors (62010),15,18.75,28.85,NL
Food service supervisors (62020),15,15,27.54,NL
Executive housekeepers (62021),15,16,23,NL
"Accommodation, travel, tourism and related services supervisors (62022)",17.5,23.08,36,NL
Customer and information services supervisors (62023),18.53,25.78,37.74,NL
Cleaning supervisors (62024),17,25,58.01,NL
Other services supervisors (62029),17,21,28.85,NL
Technical sales specialists - wholesale trade (62100),16.25,25,41.86,NL
Retail and wholesale buyers (62101),19.66,24.65,35.58,NL
Chefs (62200),15,20.19,30,NL
Funeral directors and embalmers (62201),16,21.25,36.06,NL
Insurance agents and brokers (63100),19.85,26.37,45.9,NL
Real estate agents and salespersons (63101),"32,090","56,000","158,000",NL
Financial sales representatives (63102),18,26.91,38.46,NL
Cooks (63200),15,15.5,25,NL
Bakers (63202),15,15,32.66,NL
Hairstylists and barbers (63210),15,15,25.96,NL
"Estheticians, electrologists and related occupations (63211)",15,15,16.83,NL
Retail salespersons and visual merchandisers (64100),15,15,23,NL
Sales and account representatives - wholesale trade (non-technical) (64101),16,24,45.67,NL
"Tailors, dressmakers, furriers and milliners (64200)",15,16.86,19.35,NL
Maîtres d'hôtel and hosts/hostesses (64300),15,15,16.5,NL
Bartenders (64301),15,15,18,NL
Travel counsellors (64310),15,20.3,25.64,NL
Airline ticket and service agents (64312),15,17,23.67,NL
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",15,19.01,28.55,NL
Hotel front desk clerks (64314),15,16,21,NL
Tour and travel guides (64320),15,16,25,NL
Outdoor sport and recreational guides (64322),15,18.33,22.94,NL
Customer services representatives - financial institutions (64400),15,16.95,25,NL
Postal services representatives (64401),17.08,24.72,29.81,NL
Other customer and information services representatives (64409),15,20,30,NL
Security guards and related security service occupations (64410),15,16.85,25,NL
Cashiers (65100),15,15,15,NL
Service station attendants (65101),15,15,16,NL
"Store shelf stockers, clerks and order fillers (65102)",15,15,18,NL
Other sales related occupations (65109),15,15,29.71,NL
Food and beverage servers (65200),15,15,20,NL
"Food counter attendants, kitchen helpers and related support occupations (65201)",15,15,20.19,NL
Meat cutters and fishmongers – retail and wholesale (65202),15,16.2,23,NL
"Operators and attendants in amusement, recreation and sport (65211)",15,15.15,23.68,NL
Pet groomers and animal care workers (65220),15,15,17.5,NL
Light duty cleaners (65310),15,18.53,21,NL
Specialized cleaners (65311),15,15,30,NL
"Janitors, caretakers and heavy-duty cleaners (65312)",15,20.39,26.19,NL
"Dry cleaning, laundry and related occupations (65320)",15,18.15,19.95,NL
Other service support occupations (65329),15,15,20.58,NL
Construction managers (70010),25,41.03,66.14,NL
Home building and renovation managers (70011),N/A,"59,600",N/A,NL
Facility operation and maintenance managers (70012),17.09,38.46,55.58,NL
Managers in transportation (70020),39,48,84.13,NL
Postal and courier services managers (70021),N/A,33.77,N/A,NL
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",27,42,50.62,NL
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",26.67,39.49,45,NL
"Contractors and supervisors, pipefitting trades (72012)",28,43.38,53.93,NL
"Contractors and supervisors, carpentry trades (72013)",22,34.09,41.8,NL
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",31,36,41,NL
"Contractors and supervisors, mechanic trades (72020)",21.75,36.75,55,NL
"Contractors and supervisors, heavy equipment operator crews (72021)",25.1,31.25,45.05,NL
"Supervisors, motor transport and other ground transit operators (72024)",20.18,25.25,36.96,NL
"Supervisors, mail and message distribution occupations (72025)",22,26,32,NL
Machinists and machining and tooling inspectors (72100),17.38,25,34,NL
Sheet metal workers (72102),N/A,30.62,N/A,NL
Boilermakers (72103),35.15,39.81,48.22,NL
Ironworkers (72105),29.6,39,45,NL
Welders and related machine operators (72106),26.15,36.47,54,NL
Electricians (except industrial and power system) (72200),18.5,28.5,40,NL
Industrial electricians (72201),28.3,34,50.53,NL
Power system electricians (72202),N/A,52.41,N/A,NL
Electrical power line and cable workers (72203),36.69,43,48,NL
Telecommunications line and cable installers and repairers (72204),N/A,34.86,N/A,NL
Telecommunications equipment installation and cable television service technicians (72205),23,28,36.06,NL
Plumbers (72300),22,28.31,39,NL
"Steamfitters, pipefitters and sprinkler system installers (72301)",27,40.09,48,NL
Carpenters (72310),17.5,25,36,NL
Cabinetmakers (72311),18.55,20.75,38.88,NL
Bricklayers (72320),22,34,48.42,NL
Insulators (72321),27,35.39,42.56,NL
Construction millwrights and industrial mechanics (72400),20,37,50,NL
Heavy-duty equipment mechanics (72401),23.4,35.1,48.08,NL
"Heating, refrigeration and air conditioning mechanics (72402)",20,30,41.5,NL
Aircraft mechanics and aircraft inspectors (72404),19.24,35,54,NL
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",17,24,38,NL
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",18,24,39,NL
Oil and solid fuel heating mechanics (72420),19,25,32,NL
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",25,28,37.43,NL
Other small engine and small equipment repairers (72429),15,19.21,25,NL
Crane operators (72500),26.44,40,50,NL
"Air pilots, flight engineers and flying instructors (72600)",23,43.51,59.62,NL
Air traffic controllers and related occupations (72601),21.25,42.79,70.7,NL
"Deck officers, water transport (72602)",22.89,39.11,66.75,NL
"Engineer officers, water transport (72603)",29.83,43.57,65,NL
Other technical trades and related occupations (72999),24,27.1,45.79,NL
Concrete finishers (73100),21,28,38.69,NL
"Plasterers, drywall installers and finishers and lathers (73102)",19.16,25,30,NL
Roofers and shinglers (73110),18,23,30,NL
Painters and decorators (except interior decorators) (73112),16,20,30,NL
Floor covering installers (73113),15,24.12,36.62,NL
Residential and commercial installers and servicers (73200),20,23.08,44,NL
General building maintenance workers and building superintendents (73201),15,22,28.66,NL
Other repairers and servicers (73209),15,20,37.98,NL
Transport truck drivers (73300),16.83,24,38.92,NL
"Bus drivers, subway operators and other transit operators (73301)",15,22,32.48,NL
Heavy equipment operators (73400),20,25.4,36,NL
"Drillers and blasters - surface mining, quarrying and construction (73402)",25,33,40,NL
Mail and parcel sorters and related occupations (74100),18.1,21.19,27,NL
Letter carriers (74101),19,25,30,NL
Couriers and messengers (74102),15,19.23,49.33,NL
Railway yard and track maintenance workers (74200),26.66,37.6,43.52,NL
Water transport deck and engine room crew (74201),15.34,26,43.27,NL
Air transport ramp attendants (74202),19,25,31.25,NL
Automotive and heavy truck and equipment parts installers and servicers (74203),15,19,29.2,NL
Utility maintenance workers (74204),22,26,33.65,NL
Public works maintenance equipment operators and related workers (74205),16,25.62,29,NL
Longshore workers (75100),15,22.84,29.5,NL
Material handlers (75101),15,17.6,28,NL
Construction trades helpers and labourers (75110),15,20,35,NL
Other trades helpers and labourers (75119),15,20,30,NL
Taxi and limousine drivers and chauffeurs (75200),15,15.65,24.66,NL
Delivery service drivers and door-to-door distributors (75201),15,19.95,28.89,NL
Boat and cable ferry operators and related occupations (75210),18.54,26,38.46,NL
Railway and motor transport labourers (75211),15,18,28,NL
Public works and maintenance labourers (75212),15,22.51,28.29,NL
Managers in natural resources production and fishing (80010),38.46,57.69,110.58,NL
Managers in aquaculture (80022),23.18,30.18,57.25,NL
"Supervisors, logging and forestry (82010)",25.56,38.55,55.52,NL
"Supervisors, mining and quarrying (82020)",24.27,49,91.15,NL
"Contractors and supervisors, oil and gas drilling and services (82021)",30,50,84.13,NL
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services (82031)",N/A,26.11,N/A,NL
Underground production and development miners (83100),26,38.73,54.33,NL
"Oil and gas well drillers, servicers, testers and related workers (83101)",21.54,30,61.2,NL
Logging machinery operators (83110),20,24,28,NL
Fishermen/women (83121),20,40,100,NL
Oil and gas well drilling and related workers and services operators (84101),28.1,35,44,NL
Silviculture and forestry workers (84111),16.18,20.8,26.88,NL
Specialized livestock workers and farm machinery operators (84120),N/A,23.08,N/A,NL
Fishing vessel deckhands (84121),16,30,100,NL
Livestock labourers (85100),N/A,18.45,N/A,NL
Harvesting labourers (85101),15,15,20,NL
Aquaculture and marine harvest labourers (85102),15,20,31.25,NL
Nursery and greenhouse labourers (85103),15,15,18.15,NL
Mine labourers (85110),18.75,25,35,NL
"Oil and gas drilling, servicing and related labourers (85111)",18,27,36,NL
Logging and forestry labourers (85120),15,20,24,NL
Landscaping and grounds maintenance labourers (85121),15,16,23.68,NL
Manufacturing managers (90010),18.35,43.27,81.38,NL
Utilities managers (90011),30,57.69,92.83,NL
"Supervisors, mineral and metal processing (92010)",23.34,37.21,60.29,NL
